======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[-0.000,+0.000,-0.480]m | f_tot=[+2.83,+0.02,+7.77]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+2.83,+0.02,+7.77]N(w) | tau=[+1.50,+2.31,+3.35]Nm | pwm=[1000,1300,1217,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.003,+0.007,-0.459]m | f_tot=[+2.76,+0.15,+7.61]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+2.76,+0.15,+7.61]N(w) | tau=[+1.49,+2.30,+3.35]Nm | pwm=[1000,1059,1300,1044,1000,1000]us
[modee] FLIGHT | pos=[+0.001,+0.018,-0.472]m | f_tot=[+2.64,+0.38,+7.71]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+2.64,+0.38,+7.71]N(w) | tau=[+1.49,+2.29,+3.34]Nm | pwm=[1000,1000,1300,1074,1000,1000]us
[modee] FLIGHT | pos=[+0.005,+0.020,-0.485]m | f_tot=[+2.63,+0.49,+7.81]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+2.63,+0.49,+7.81]N(w) | tau=[+1.48,+2.28,+3.33]Nm | pwm=[1000,1300,1226,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.001,+0.020,-0.495]m | f_tot=[+2.51,+0.60,+7.74]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+2.51,+0.60,+7.74]N(w) | tau=[+1.19,+1.87,+2.96]Nm | pwm=[1000,1000,1300,1071,1000,1000]us
[modee] FLIGHT | pos=[+0.013,+0.017,-0.503]m | f_tot=[+2.53,+0.49,+7.86]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.53,+0.49,+7.86]N(w) | tau=[+0.94,+1.48,+2.57]Nm | pwm=[1000,1300,1000,1228,1000,1000]us
[modee] FLIGHT | pos=[+0.033,+0.011,-0.511]m | f_tot=[+2.53,+0.32,+7.72]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+2.53,+0.32,+7.72]N(w) | tau=[+0.32,+0.62,+1.66]Nm | pwm=[1000,1219,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.065,-0.001,-0.517]m | f_tot=[+2.41,+0.32,+7.76]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+2.41,+0.32,+7.76]N(w) | tau=[-0.45,-0.32,+0.48]Nm | pwm=[1000,1000,1300,1055,1000,1000]us
[modee] FLIGHT | pos=[+0.087,-0.010,-0.518]m | f_tot=[+2.30,+0.38,+7.75]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+2.30,+0.38,+7.75]N(w) | tau=[-0.45,-0.33,+0.46]Nm | pwm=[1000,1257,1239,1071,1000,1000]us
[modee] FLIGHT | pos=[+0.110,-0.014,-0.516]m | f_tot=[+2.29,+0.21,+7.78]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+2.29,+0.21,+7.78]N(w) | tau=[-0.45,-0.60,-0.00]Nm | pwm=[1000,1000,1098,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.124,-0.014,-0.513]m | f_tot=[+2.32,+0.03,+7.95]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.32,+0.03,+7.95]N(w) | tau=[-0.45,-0.58,-0.14]Nm | pwm=[1000,1300,1000,1251,1000,1000]us
