======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[+0.000,-0.000,-0.239]m | f_tot=[-0.00,-0.00,+8.11]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-0.00,-0.00,+8.11]N(w) | tau=[+0.14,+0.12,+0.12]Nm | pwm=[1000,1169,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.000,-0.001,-0.240]m | f_tot=[-0.00,+0.00,+8.13]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[-0.00,+0.00,+8.13]N(w) | tau=[+0.14,+0.12,+0.13]Nm | pwm=[1000,1204,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.000,+0.001,-0.240]m | f_tot=[-0.01,+0.23,+8.10]N(w) | f_grf=[+0.00,+0.00,+0.00]N(w) | f_leg=[-0.00,-0.00,-0.00]N(w) | f_prop=[-0.01,+0.23,+8.10]N(w) | tau=[+0.14,+0.12,+0.13]Nm | pwm=[1000,1000,1300,1076,1000,1000]us
[modee] FLIGHT | pos=[-0.001,+0.002,-0.240]m | f_tot=[+0.01,+0.23,+8.26]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+0.01,+0.23,+8.26]N(w) | tau=[+0.15,+0.12,+0.13]Nm | pwm=[1000,1300,1000,1219,1000,1000]us
[modee] FLIGHT | pos=[-0.002,+0.004,-0.240]m | f_tot=[+0.06,+0.17,+8.16]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+0.06,+0.17,+8.16]N(w) | tau=[+0.15,+0.13,+0.13]Nm | pwm=[1000,1000,1300,1078,1000,1000]us
[modee] FLIGHT | pos=[-0.002,+0.004,-0.240]m | f_tot=[+0.01,+0.22,+8.22]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+0.01,+0.22,+8.22]N(w) | tau=[+0.15,+0.13,+0.13]Nm | pwm=[1000,1300,1000,1252,1000,1000]us
[modee] FLIGHT | pos=[-0.003,+0.005,-0.240]m | f_tot=[+0.00,+0.22,+8.16]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+0.00,+0.22,+8.16]N(w) | tau=[+0.15,+0.13,+0.14]Nm | pwm=[1000,1000,1300,1078,1000,1000]us
[modee] FLIGHT | pos=[-0.002,+0.005,-0.240]m | f_tot=[-0.11,+0.35,+8.09]N(w) | f_grf=[+0.00,+0.00,+0.00]N(w) | f_leg=[-0.00,-0.00,-0.00]N(w) | f_prop=[-0.11,+0.35,+8.09]N(w) | tau=[+0.16,+0.13,+0.14]Nm | pwm=[1000,1000,1300,1076,1000,1000]us
[modee] STANCE:COMP | pos=[-0.003,+0.006,-0.240]m | f_tot=[+8.94,-8.94,+29.71]N(w) | f_grf=[+8.94,-8.94,+29.71]N(w) | f_leg=[-8.94,+8.94,-29.71]N(w) | f_prop=[-0.00,+0.00,+0.00]N(w) | tau=[+2.57,+0.31,-0.38]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.002,+0.002,-0.239]m | f_tot=[+8.88,-8.89,+29.53]N(w) | f_grf=[+8.88,-8.89,+29.53]N(w) | f_leg=[-8.88,+8.89,-29.53]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+2.28,+0.43,-0.24]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.000,+0.001,-0.239]m | f_tot=[+8.76,-8.78,+29.18]N(w) | f_grf=[+8.76,-8.78,+29.18]N(w) | f_leg=[-8.76,+8.78,-29.18]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+1.83,+0.74,-0.07]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.074,+0.009,-0.235]m | f_tot=[+8.76,-8.80,+29.30]N(w) | f_grf=[+8.76,-8.80,+29.30]N(w) | f_leg=[-8.76,+8.80,-29.30]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+1.62,+1.51,-0.99]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.101,-0.077,-0.220]m | f_tot=[+8.21,-8.17,+27.27]N(w) | f_grf=[+8.21,-8.17,+27.27]N(w) | f_leg=[-8.21,+8.17,-27.27]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+0.76,-0.08,+1.48]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.076,-0.103,-0.224]m | f_tot=[+8.44,-8.41,+28.05]N(w) | f_grf=[+8.44,-8.41,+28.05]N(w) | f_leg=[-8.44,+8.41,-28.05]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[+1.15,-0.02,+1.25]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.069,-0.095,-0.229]m | f_tot=[-4.91,-8.64,+28.89]N(w) | f_grf=[-4.91,-8.64,+28.89]N(w) | f_leg=[+4.91,+8.64,-28.89]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-0.18,-1.00,+3.02]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.052,-0.103,-0.232]m | f_tot=[-9.12,-9.12,+30.33]N(w) | f_grf=[-9.12,-9.12,+30.33]N(w) | f_leg=[+9.12,+9.12,-30.33]N(w) | f_prop=[+0.00,-0.00,+0.00]N(w) | tau=[-0.17,-1.31,+3.41]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
