======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] STANCE:COMP | pos=[-0.000,+0.000,-0.273]m | f_tot=[+95.90,+39.07,+195.04]N(w) | f_grf=[+95.90,+39.07,+195.04]N(w) | f_leg=[-95.90,-39.07,-195.04]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+2.46,+8.00,+2.35]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.003,+0.006,-0.263]m | f_tot=[+99.03,+41.40,+194.98]N(w) | f_grf=[+99.03,+41.40,+194.98]N(w) | f_leg=[-99.03,-41.40,-194.98]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+2.46,+8.00,+2.16]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.008,+0.004,-0.266]m | f_tot=[+103.90,+46.81,+194.87]N(w) | f_grf=[+103.90,+46.81,+194.87]N(w) | f_leg=[-103.90,-46.81,-194.87]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+2.70,+8.00,+2.27]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.022,-0.012,-0.275]m | f_tot=[+122.97,+70.45,+194.25]N(w) | f_grf=[+122.97,+70.45,+194.25]N(w) | f_leg=[-122.97,-70.45,-194.25]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+3.10,+8.00,+2.71]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.059,-0.063,-0.281]m | f_tot=[+75.85,+75.85,+94.81]N(w) | f_grf=[+75.85,+75.85,+94.81]N(w) | f_leg=[-75.85,-75.85,-94.81]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+1.52,+8.00,+5.55]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.098,-0.121,-0.272]m | f_tot=[+69.32,+69.32,+86.64]N(w) | f_grf=[+69.32,+69.32,+86.64]N(w) | f_leg=[-69.32,-69.32,-86.64]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+2.62,+1.90,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.102,-0.170,-0.264]m | f_tot=[+64.15,+64.15,+80.19]N(w) | f_grf=[+64.15,+64.15,+80.19]N(w) | f_leg=[-64.15,-64.15,-80.19]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+5.47,-2.01,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[-0.063,-0.167,-0.279]m | f_tot=[+30.44,+69.55,+86.94]N(w) | f_grf=[+30.44,+69.55,+86.94]N(w) | f_leg=[-30.44,-69.55,-86.94]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+3.03,-1.22,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.004,-0.145,-0.303]m | f_tot=[-17.12,+45.98,+57.38]N(w) | f_grf=[-17.12,+45.98,+57.38]N(w) | f_leg=[+17.12,-45.98,-57.38]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[-0.57,+0.55,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.074,-0.123,-0.314]m | f_tot=[-33.74,+47.58,+59.55]N(w) | f_grf=[-33.74,+47.58,+59.55]N(w) | f_leg=[+33.74,-47.58,-59.55]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[-0.70,+2.35,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.152,-0.103,-0.303]m | f_tot=[-48.02,+48.02,+60.02]N(w) | f_grf=[-48.02,+48.02,+60.02]N(w) | f_leg=[+48.02,-48.02,-60.02]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+0.30,+5.75,+7.69]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.153,-0.105,-0.297]m | f_tot=[-47.86,+47.77,+59.73]N(w) | f_grf=[-47.86,+47.77,+59.73]N(w) | f_leg=[+47.86,-47.77,-59.73]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+1.37,+5.97,+6.34]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:COMP | pos=[+0.147,-0.119,-0.292]m | f_tot=[-80.35,+80.36,+100.44]N(w) | f_grf=[-80.35,+80.36,+100.44]N(w) | f_leg=[+80.35,-80.36,-100.44]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+3.30,+7.00,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.144,-0.132,-0.286]m | f_tot=[-46.03,+80.54,+100.67]N(w) | f_grf=[-46.03,+80.54,+100.67]N(w) | f_leg=[+46.03,-80.54,-100.67]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+8.00,+5.78,+2.87]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.139,-0.141,-0.283]m | f_tot=[-46.20,+79.96,+99.95]N(w) | f_grf=[-46.20,+79.96,+99.95]N(w) | f_leg=[+46.20,-79.96,-99.95]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+8.00,+3.97,+3.66]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.131,-0.144,-0.285]m | f_tot=[-41.12,+79.76,+99.70]N(w) | f_grf=[-41.12,+79.76,+99.70]N(w) | f_leg=[+41.12,-79.76,-99.70]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+8.00,+3.36,+3.97]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
