======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[-0.000,+0.000,-0.480]m | f_tot=[+2.83,+0.02,+7.77]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+2.83,+0.02,+7.77]N(w) | tau=[+1.50,+2.31,+3.35]Nm | pwm=[1000,1300,1217,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.003,+0.006,-0.459]m | f_tot=[+2.76,+0.14,+7.62]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+2.76,+0.14,+7.62]N(w) | tau=[+1.47,+2.07,+3.24]Nm | pwm=[1000,1163,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.002,+0.018,-0.471]m | f_tot=[+2.62,+0.37,+7.72]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+2.62,+0.37,+7.72]N(w) | tau=[+0.88,+1.38,+2.56]Nm | pwm=[1000,1000,1300,1075,1000,1000]us
[modee] FLIGHT | pos=[+0.009,+0.024,-0.484]m | f_tot=[+2.47,+0.43,+7.76]N(w) | f_grf=[+0.00,+0.00,+0.00]N(w) | f_leg=[-0.00,-0.00,-0.00]N(w) | f_prop=[+2.47,+0.43,+7.76]N(w) | tau=[+0.51,+0.90,+2.05]Nm | pwm=[1000,1000,1300,1194,1000,1000]us
[modee] FLIGHT | pos=[+0.002,+0.018,-0.490]m | f_tot=[+2.37,+0.35,+7.81]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+2.37,+0.35,+7.81]N(w) | tau=[+0.07,+0.27,+1.47]Nm | pwm=[1000,1000,1083,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.007,+0.012,-0.492]m | f_tot=[+2.38,+0.32,+7.90]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+2.38,+0.32,+7.90]N(w) | tau=[-0.18,+0.05,+1.19]Nm | pwm=[1000,1300,1205,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.005,+0.010,-0.493]m | f_tot=[+2.32,+0.36,+7.79]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+2.32,+0.36,+7.79]N(w) | tau=[-0.43,-0.24,+0.95]Nm | pwm=[1000,1000,1300,1057,1000,1000]us
[modee] FLIGHT | pos=[+0.006,+0.014,-0.492]m | f_tot=[+2.19,+0.31,+7.87]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+2.19,+0.31,+7.87]N(w) | tau=[-0.43,-0.24,+0.93]Nm | pwm=[1000,1000,1249,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.011,+0.017,-0.491]m | f_tot=[+2.16,+0.20,+7.80]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.16,+0.20,+7.80]N(w) | tau=[-0.43,-0.24,+0.92]Nm | pwm=[1000,1300,1032,1115,1000,1000]us
[modee] FLIGHT | pos=[+0.021,+0.015,-0.489]m | f_tot=[+2.15,+0.15,+7.81]N(w) | f_grf=[+0.00,+0.00,+0.00]N(w) | f_leg=[-0.00,-0.00,-0.00]N(w) | f_prop=[+2.15,+0.15,+7.81]N(w) | tau=[-0.44,-0.24,+0.91]Nm | pwm=[1000,1001,1300,1033,1000,1000]us
[modee] FLIGHT | pos=[+0.035,+0.015,-0.487]m | f_tot=[+2.07,+0.11,+7.91]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+2.07,+0.11,+7.91]N(w) | tau=[-0.45,-0.24,+0.85]Nm | pwm=[1000,1000,1245,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.048,+0.013,-0.484]m | f_tot=[+2.09,-0.03,+8.01]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.09,-0.03,+8.01]N(w) | tau=[-0.45,-0.21,+0.69]Nm | pwm=[1000,1278,1000,1277,1000,1000]us
[modee] FLIGHT | pos=[+0.057,+0.005,-0.481]m | f_tot=[+2.16,-0.11,+7.87]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+2.16,-0.11,+7.87]N(w) | tau=[-0.44,-0.18,+0.54]Nm | pwm=[1000,1300,1127,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.073,-0.004,-0.477]m | f_tot=[+2.13,-0.14,+7.87]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+2.13,-0.14,+7.87]N(w) | tau=[-0.44,-0.17,+0.48]Nm | pwm=[1000,1000,1300,1232,1000,1000]us
[modee] FLIGHT | pos=[+0.096,-0.010,-0.470]m | f_tot=[+2.09,-0.33,+7.99]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.09,-0.33,+7.99]N(w) | tau=[-0.38,-0.13,+0.34]Nm | pwm=[1000,1250,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.110,-0.018,-0.464]m | f_tot=[+2.16,-0.51,+7.97]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.16,-0.51,+7.97]N(w) | tau=[-0.34,-0.09,+0.24]Nm | pwm=[1000,1250,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.133,-0.033,-0.452]m | f_tot=[+2.12,-0.61,+7.79]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.12,-0.61,+7.79]N(w) | tau=[-0.33,-0.08,+0.22]Nm | pwm=[1000,1285,1223,1054,1000,1000]us
[modee] FLIGHT | pos=[+0.152,-0.043,-0.441]m | f_tot=[+2.13,-0.70,+7.95]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+2.13,-0.70,+7.95]N(w) | tau=[-0.19,+0.03,+0.02]Nm | pwm=[1000,1000,1203,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.175,-0.056,-0.424]m | f_tot=[+2.21,-0.93,+7.92]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+2.21,-0.93,+7.92]N(w) | tau=[-0.03,+0.13,-0.17]Nm | pwm=[1000,1230,1000,1300,1000,1000]us
