======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[-0.000,+0.000,-0.480]m | f_tot=[+0.00,+0.02,+8.13]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+0.00,+0.02,+8.13]N(w) | tau=[+1.92,+2.76,+2.47]Nm | pwm=[1000,1201,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.010,+0.017,-0.462]m | f_tot=[+0.00,+0.42,+8.10]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+0.00,+0.42,+8.10]N(w) | tau=[+1.65,+2.15,+2.16]Nm | pwm=[1000,1175,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.012,+0.020,-0.469]m | f_tot=[-0.00,+0.50,+8.10]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-0.00,+0.50,+8.10]N(w) | tau=[+1.20,+1.34,+1.52]Nm | pwm=[1000,1182,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.012,+0.019,-0.472]m | f_tot=[-0.01,+0.44,+8.08]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[-0.01,+0.44,+8.08]N(w) | tau=[+1.20,+1.34,+1.51]Nm | pwm=[1000,1050,1300,1051,1000,1000]us
[modee] FLIGHT | pos=[-0.008,+0.013,-0.474]m | f_tot=[-0.01,+0.45,+8.25]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-0.01,+0.45,+8.25]N(w) | tau=[+1.16,+1.28,+1.45]Nm | pwm=[1000,1300,1000,1219,1000,1000]us
[modee] FLIGHT | pos=[-0.008,+0.011,-0.476]m | f_tot=[+0.01,+0.37,+8.15]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+0.01,+0.37,+8.15]N(w) | tau=[+1.07,+1.17,+1.34]Nm | pwm=[1000,1000,1078,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.002,+0.004,-0.481]m | f_tot=[-0.02,+0.38,+8.25]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[-0.02,+0.38,+8.25]N(w) | tau=[+1.02,+1.10,+1.26]Nm | pwm=[1000,1300,1219,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.003,-0.005,-0.484]m | f_tot=[+0.00,+0.41,+8.15]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+0.00,+0.41,+8.15]N(w) | tau=[+0.21,-0.13,+0.02]Nm | pwm=[1000,1000,1171,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.009,-0.009,-0.487]m | f_tot=[-0.04,+0.35,+8.25]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-0.04,+0.35,+8.25]N(w) | tau=[+0.19,-0.17,-0.05]Nm | pwm=[1000,1300,1000,1221,1000,1000]us
[modee] FLIGHT | pos=[+0.009,-0.012,-0.488]m | f_tot=[-0.02,+0.33,+8.19]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[-0.02,+0.33,+8.19]N(w) | tau=[+0.18,-0.17,-0.07]Nm | pwm=[1000,1300,1000,1196,1000,1000]us
[modee] FLIGHT | pos=[+0.011,-0.015,-0.488]m | f_tot=[-0.01,+0.32,+8.15]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[-0.01,+0.32,+8.15]N(w) | tau=[+0.17,-0.19,-0.08]Nm | pwm=[1000,1000,1300,1248,1000,1000]us
[modee] FLIGHT | pos=[+0.014,-0.017,-0.488]m | f_tot=[-0.03,+0.32,+8.13]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-0.03,+0.32,+8.13]N(w) | tau=[+0.16,-0.20,-0.11]Nm | pwm=[1000,1233,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.014,-0.022,-0.486]m | f_tot=[+0.03,+0.27,+8.13]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+0.03,+0.27,+8.13]N(w) | tau=[+0.16,-0.21,-0.12]Nm | pwm=[1000,1300,1000,1164,1000,1000]us
[modee] FLIGHT | pos=[+0.018,-0.029,-0.483]m | f_tot=[+0.04,+0.29,+8.16]N(w) | f_grf=[-0.00,+0.00,-0.00]N(w) | f_leg=[+0.00,-0.00,+0.00]N(w) | f_prop=[+0.04,+0.29,+8.16]N(w) | tau=[+0.16,-0.22,-0.13]Nm | pwm=[1000,1000,1300,1082,1000,1000]us
[modee] FLIGHT | pos=[+0.023,-0.031,-0.481]m | f_tot=[+0.01,+0.30,+8.15]N(w) | f_grf=[+0.00,-0.00,+0.00]N(w) | f_leg=[-0.00,+0.00,-0.00]N(w) | f_prop=[+0.01,+0.30,+8.15]N(w) | tau=[+0.16,-0.23,-0.13]Nm | pwm=[1000,1000,1075,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.024,-0.032,-0.479]m | f_tot=[+0.01,+0.25,+8.25]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+0.01,+0.25,+8.25]N(w) | tau=[+0.17,-0.23,-0.14]Nm | pwm=[1000,1300,1000,1216,1000,1000]us
[modee] FLIGHT | pos=[+0.023,-0.035,-0.476]m | f_tot=[+0.03,+0.23,+8.26]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+0.03,+0.23,+8.26]N(w) | tau=[+0.17,-0.23,-0.14]Nm | pwm=[1000,1300,1000,1216,1000,1000]us
