[run_modee] stance_use_props = True
======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[-0.000,+0.000,-0.480]m | f_tot=[+0.00,+0.02,+8.13]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+0.00,+0.02,+8.13]N(w) | tau=[+1.92,+2.76,+2.47]Nm | pwm=[1000,1201,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.009,+0.016,-0.462]m | f_tot=[-0.00,+0.37,+8.10]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[-0.00,+0.37,+8.10]N(w) | tau=[+1.66,+2.14,+2.15]Nm | pwm=[1000,1170,1300,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.013,+0.020,-0.471]m | f_tot=[-0.00,+0.43,+8.11]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-0.00,+0.43,+8.11]N(w) | tau=[+1.15,+1.29,+1.47]Nm | pwm=[1000,1186,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.012,+0.019,-0.475]m | f_tot=[-0.01,+0.35,+8.09]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[-0.01,+0.35,+8.09]N(w) | tau=[+1.14,+1.29,+1.47]Nm | pwm=[1000,1029,1300,1131,1000,1000]us
[modee] FLIGHT | pos=[-0.009,+0.012,-0.478]m | f_tot=[+0.00,+0.36,+8.25]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+0.00,+0.36,+8.25]N(w) | tau=[+1.08,+1.20,+1.38]Nm | pwm=[1000,1300,1000,1219,1000,1000]us
[modee] FLIGHT | pos=[-0.007,+0.007,-0.482]m | f_tot=[+0.02,+0.31,+8.15]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+0.02,+0.31,+8.15]N(w) | tau=[+0.96,+1.05,+1.22]Nm | pwm=[1000,1000,1300,1224,1000,1000]us
[modee] FLIGHT | pos=[+0.000,-0.000,-0.487]m | f_tot=[-0.01,+0.31,+8.25]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[-0.01,+0.31,+8.25]N(w) | tau=[+0.86,+0.90,+1.05]Nm | pwm=[1000,1300,1000,1219,1000,1000]us
[modee] FLIGHT | pos=[+0.002,-0.007,-0.490]m | f_tot=[+0.03,+0.25,+8.13]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[+0.03,+0.25,+8.13]N(w) | tau=[+0.09,-0.17,-0.04]Nm | pwm=[1000,1000,1239,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.009,-0.017,-0.493]m | f_tot=[+0.02,+0.26,+8.09]N(w) | f_grf=[+0.00,-0.00,+0.00]N(w) | f_leg=[-0.00,+0.00,-0.00]N(w) | f_prop=[+0.02,+0.26,+8.09]N(w) | tau=[+0.09,-0.18,-0.05]Nm | pwm=[1000,1300,1112,1030,1000,1000]us
[modee] FLIGHT | pos=[+0.009,-0.023,-0.493]m | f_tot=[+0.09,+0.24,+8.19]N(w) | f_grf=[+0.00,-0.00,-0.00]N(w) | f_leg=[-0.00,+0.00,+0.00]N(w) | f_prop=[+0.09,+0.24,+8.19]N(w) | tau=[+0.09,-0.20,-0.06]Nm | pwm=[1000,1274,1000,1276,1000,1000]us
[modee] FLIGHT | pos=[+0.018,-0.026,-0.491]m | f_tot=[+0.02,+0.20,+8.16]N(w) | f_grf=[-0.00,+0.00,-0.00]N(w) | f_leg=[+0.00,-0.00,+0.00]N(w) | f_prop=[+0.02,+0.20,+8.16]N(w) | tau=[+0.07,-0.23,-0.10]Nm | pwm=[1000,1000,1300,1081,1000,1000]us
