[run_modee] leg_model = serial
======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.1
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[-0.000,+0.000,-0.565]m | f_tot=[+0.00,+0.00,+3.68]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[-0.00,+0.00,+3.68]N(w) | tau=[-0.00,-0.00,-2.86]Nm | pwm=[1000,1093,1093,1093,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.005,-0.002,-0.164]m | f_tot=[+6.35,-9.66,+28.29]N(w) | f_grf=[+5.04,-5.03,+19.18]N(w) | f_leg=[-5.04,+5.03,-19.18]N(w) | f_prop=[+1.31,-4.63,+9.11]N(w) | tau=[-0.20,+0.06,-8.00]Nm | pwm=[1000,1300,1000,1207,1000,1000]us
[modee] STANCE:COMP | pos=[+0.451,-0.228,-0.180]m | f_tot=[-13.27,-3.04,+10.09]N(w) | f_grf=[-4.29,-4.29,+14.32]N(w) | f_leg=[+4.29,+4.29,-14.32]N(w) | f_prop=[-8.98,+1.25,-4.23]N(w) | tau=[+0.16,-5.96,-8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.278,-0.269,-0.216]m | f_tot=[+6.30,+10.39,+19.66]N(w) | f_grf=[+8.82,+8.79,+29.36]N(w) | f_leg=[-8.82,-8.79,-29.36]N(w) | f_prop=[-2.52,+1.60,-9.70]N(w) | tau=[-3.19,+0.09,+8.00]Nm | pwm=[1000,1300,1006,1005,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.103,-0.057,-0.078]m | f_tot=[+1.51,+6.91,+25.52]N(w) | f_grf=[+1.07,+10.51,+35.05]N(w) | f_leg=[-1.07,-10.51,-35.05]N(w) | f_prop=[+0.43,-3.60,-9.52]N(w) | tau=[-1.30,-1.02,+8.00]Nm | pwm=[1000,1004,1010,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.077,-0.098,-0.104]m | f_tot=[+29.73,-6.11,+175.15]N(w) | f_grf=[+27.51,-11.07,+183.89]N(w) | f_leg=[-27.51,+11.07,-183.89]N(w) | f_prop=[+2.22,+4.96,-8.74]N(w) | tau=[-7.75,-4.54,-8.00]Nm | pwm=[1000,1300,1001,1021,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-34.02,+32.32,+209.02]N(w) | f_grf=[-34.05,+32.32,+219.02]N(w) | f_leg=[+34.05,-32.32,-219.02]N(w) | f_prop=[+0.03,+0.00,-10.00]N(w) | tau=[-5.33,-4.69,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,-0.056,-0.077]m | f_tot=[-31.85,+33.52,+209.56]N(w) | f_grf=[-31.85,+33.52,+219.56]N(w) | f_leg=[+31.85,-33.52,-219.56]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[-5.32,-4.79,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
