[run_modee] leg_model = serial
======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.1
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[+0.000,+0.000,-0.565]m | f_tot=[-0.00,+0.00,+3.68]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+0.00,-0.00,+3.68]N(w) | tau=[+0.00,+0.00,+0.00]Nm | pwm=[1000,1093,1093,1093,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.006,-0.017,-0.163]m | f_tot=[+1.69,+0.49,+10.16]N(w) | f_grf=[+0.00,-0.00,+0.01]N(w) | f_leg=[-0.00,+0.00,-0.01]N(w) | f_prop=[+1.68,+0.49,+10.15]N(w) | tau=[+0.00,-0.00,-0.01]Nm | pwm=[1000,1300,1000,1188,1000,1000]us
[modee] STANCE:COMP | pos=[-0.216,-0.154,-0.478]m | f_tot=[+6.49,+10.18,+15.72]N(w) | f_grf=[+2.84,+2.84,+9.47]N(w) | f_leg=[-2.84,-2.84,-9.47]N(w) | f_prop=[+3.65,+7.33,+6.25]N(w) | tau=[+3.69,-1.65,-5.66]Nm | pwm=[1000,1300,1254,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.051,-0.079]m | f_tot=[-0.95,+9.37,+25.24]N(w) | f_grf=[+0.31,+10.62,+35.39]N(w) | f_leg=[-0.31,-10.62,-35.39]N(w) | f_prop=[-1.26,-1.25,-10.15]N(w) | tau=[+1.81,-2.72,+5.72]Nm | pwm=[1000,1000,1300,1024,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,+0.056,-0.077]m | f_tot=[-21.90,-38.12,+209.70]N(w) | f_grf=[-21.68,-38.06,+220.00]N(w) | f_leg=[+21.68,+38.06,-220.00]N(w) | f_prop=[-0.22,-0.06,-10.30]N(w) | tau=[+5.03,-5.78,+8.00]Nm | pwm=[1000,1300,1023,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,+0.056,-0.077]m | f_tot=[-33.34,-30.63,+209.57]N(w) | f_grf=[-33.34,-30.63,+219.57]N(w) | f_leg=[+33.34,+30.63,-219.57]N(w) | f_prop=[-0.00,-0.00,-10.00]N(w) | tau=[+5.17,-5.29,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,+0.056,-0.077]m | f_tot=[-33.37,-30.58,+209.56]N(w) | f_grf=[-33.37,-30.58,+219.56]N(w) | f_leg=[+33.37,+30.58,-219.56]N(w) | f_prop=[-0.00,-0.00,-10.00]N(w) | tau=[+5.17,-5.28,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,+0.056,-0.077]m | f_tot=[-33.35,-30.61,+209.56]N(w) | f_grf=[-33.35,-30.61,+219.56]N(w) | f_leg=[+33.35,+30.61,-219.56]N(w) | f_prop=[-0.00,-0.00,-10.00]N(w) | tau=[+5.17,-5.29,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,+0.056,-0.077]m | f_tot=[-33.35,-30.61,+209.56]N(w) | f_grf=[-33.35,-30.61,+219.56]N(w) | f_leg=[+33.35,+30.61,-219.56]N(w) | f_prop=[-0.00,-0.00,-10.00]N(w) | tau=[+5.17,-5.29,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,+0.056,-0.077]m | f_tot=[-33.35,-30.61,+209.56]N(w) | f_grf=[-33.35,-30.61,+219.56]N(w) | f_leg=[+33.35,+30.61,-219.56]N(w) | f_prop=[-0.00,-0.00,-10.00]N(w) | tau=[+5.17,-5.29,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,+0.056,-0.077]m | f_tot=[-33.35,-30.61,+209.56]N(w) | f_grf=[-33.35,-30.61,+219.56]N(w) | f_leg=[+33.35,+30.61,-219.56]N(w) | f_prop=[-0.00,-0.00,-10.00]N(w) | tau=[+5.17,-5.29,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,+0.056,-0.077]m | f_tot=[-33.35,-30.61,+209.56]N(w) | f_grf=[-33.35,-30.61,+219.56]N(w) | f_leg=[+33.35,+30.61,-219.56]N(w) | f_prop=[-0.00,-0.00,-10.00]N(w) | tau=[+5.17,-5.29,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,+0.056,-0.077]m | f_tot=[-33.35,-30.61,+209.56]N(w) | f_grf=[-33.35,-30.61,+219.56]N(w) | f_leg=[+33.35,+30.61,-219.56]N(w) | f_prop=[-0.00,-0.00,-10.00]N(w) | tau=[+5.17,-5.29,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,+0.056,-0.077]m | f_tot=[-33.35,-30.61,+209.56]N(w) | f_grf=[-33.35,-30.61,+219.56]N(w) | f_leg=[+33.35,+30.61,-219.56]N(w) | f_prop=[-0.00,-0.00,-10.00]N(w) | tau=[+5.17,-5.29,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,+0.056,-0.077]m | f_tot=[-33.35,-30.61,+209.56]N(w) | f_grf=[-33.35,-30.61,+219.56]N(w) | f_leg=[+33.35,+30.61,-219.56]N(w) | f_prop=[-0.00,-0.00,-10.00]N(w) | tau=[+5.17,-5.29,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,+0.056,-0.077]m | f_tot=[-33.35,-30.61,+209.56]N(w) | f_grf=[-33.35,-30.61,+219.56]N(w) | f_leg=[+33.35,+30.61,-219.56]N(w) | f_prop=[-0.00,-0.00,-10.00]N(w) | tau=[+5.17,-5.29,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.104,+0.056,-0.077]m | f_tot=[-33.35,-30.61,+209.56]N(w) | f_grf=[-33.35,-30.61,+219.56]N(w) | f_leg=[+33.35,+30.61,-219.56]N(w) | f_prop=[-0.00,-0.00,-10.00]N(w) | tau=[+5.17,-5.29,+8.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
