[run_modee] tau_cmd_max_nm = (80.0, 80.0, 80.0)
[run_modee] leg_model = serial
======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (80.0, 80.0, 80.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 80.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.1
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[+0.000,+0.000,-0.565]m | f_tot=[-0.00,+0.00,+3.68]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+0.00,-0.00,+3.68]N(w) | tau=[+0.00,+0.00,+0.00]Nm | pwm=[1000,1093,1093,1093,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.070,+0.211,-0.432]m | f_tot=[+8.80,-9.03,+17.88]N(w) | f_grf=[+3.37,-3.37,+11.22]N(w) | f_leg=[-3.37,+3.37,-11.22]N(w) | f_prop=[+5.44,-5.67,+6.66]N(w) | tau=[-4.22,-1.58,-6.78]Nm | pwm=[1000,1229,1000,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.339,+0.109,-0.277]m | f_tot=[+2.05,-0.56,+19.42]N(w) | f_grf=[-5.93,+5.93,+19.78]N(w) | f_leg=[+5.93,-5.93,-19.78]N(w) | f_prop=[+7.99,-6.49,-0.36]N(w) | tau=[+3.87,-2.91,+13.90]Nm | pwm=[1000,1300,1023,1000,1000,1000]us
[modee] FLIGHT | pos=[+0.412,+0.196,-0.381]m | f_tot=[-4.17,-0.64,-0.21]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[-4.17,-0.64,-0.21]N(w) | tau=[+6.25,+6.50,+9.93]Nm | pwm=[1000,1000,1000,1281,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.098,+0.046,-0.230]m | f_tot=[+0.17,+1.15,+27.71]N(w) | f_grf=[+6.92,+6.92,+23.05]N(w) | f_leg=[-6.92,-6.92,-23.05]N(w) | f_prop=[-6.75,-5.77,+4.66]N(w) | tau=[+0.60,-5.07,+4.14]Nm | pwm=[1000,1002,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[+0.365,+0.358,-0.241]m | f_tot=[-2.49,+2.10,-2.30]N(w) | f_grf=[+0.00,-0.00,+0.00]N(w) | f_leg=[-0.00,+0.00,-0.00]N(w) | f_prop=[-2.49,+2.10,-2.30]N(w) | tau=[+3.66,+4.02,-3.30]Nm | pwm=[1000,1270,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.125,+0.066,-0.084]m | f_tot=[+0.75,-11.05,+25.09]N(w) | f_grf=[-2.20,-10.42,+34.74]N(w) | f_leg=[+2.20,+10.42,-34.74]N(w) | f_prop=[+2.95,-0.63,-9.65]N(w) | tau=[+2.79,+1.09,-0.66]Nm | pwm=[1000,1004,1004,1300,1000,1000]us
[modee] STANCE:COMP | pos=[-0.360,+0.202,-0.169]m | f_tot=[-1.16,-3.79,+19.30]N(w) | f_grf=[+7.25,-7.25,+24.15]N(w) | f_leg=[-7.25,+7.25,-24.15]N(w) | f_prop=[-8.41,+3.45,-4.85]N(w) | tau=[+4.81,-2.02,+16.12]Nm | pwm=[1000,1026,1300,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.052,-0.449,-0.308]m | f_tot=[-16.36,+4.54,+20.77]N(w) | f_grf=[-6.19,+6.19,+20.63]N(w) | f_leg=[+6.19,-6.19,-20.63]N(w) | f_prop=[-10.17,-1.65,+0.13]N(w) | tau=[-0.19,+9.56,-13.04]Nm | pwm=[1000,1000,1024,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.003,+0.103,-0.107]m | f_tot=[-10.62,+10.57,+31.68]N(w) | f_grf=[-10.62,+10.58,+35.46]N(w) | f_leg=[+10.62,-10.58,-35.46]N(w) | f_prop=[-0.00,-0.01,-3.77]N(w) | tau=[+2.76,-0.69,+30.67]Nm | pwm=[1000,1097,1153,1036,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+10.19,-34.35,+210.00]N(w) | f_grf=[+10.19,-34.35,+220.00]N(w) | f_leg=[-10.19,+34.35,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.54,-8.29,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.70,-44.11,+210.00]N(w) | f_grf=[+20.70,-44.11,+220.00]N(w) | f_leg=[-20.70,+44.11,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.101,+0.054,-0.076]m | f_tot=[+20.69,-44.10,+210.00]N(w) | f_grf=[+20.69,-44.10,+220.00]N(w) | f_leg=[-20.69,+44.10,-220.00]N(w) | f_prop=[+0.00,+0.00,-10.00]N(w) | tau=[+12.98,-6.73,+80.00]Nm | pwm=[1000,1300,1000,1000,1000,1000]us
