[run_modee] leg_model = serial
======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.1
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[+0.000,+0.000,-0.565]m | f_tot=[-0.00,+0.00,+3.68]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+0.00,-0.00,+3.68]N(w) | tau=[+0.00,+0.00,+0.00]Nm | pwm=[1000,1093,1093,1093,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.114,+0.018,-0.138]m | f_tot=[+1.31,+18.12,+32.47]N(w) | f_grf=[+4.54,+14.59,+23.36]N(w) | f_leg=[-4.54,-14.59,-23.36]N(w) | f_prop=[-3.23,+3.53,+9.11]N(w) | tau=[-1.50,+3.29,-7.92]Nm | pwm=[1000,1020,1300,1003,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.295,-0.160,-0.158]m | f_tot=[+5.09,+18.11,+45.12]N(w) | f_grf=[+12.70,+18.05,+51.61]N(w) | f_leg=[-12.70,-18.05,-51.61]N(w) | f_prop=[-7.61,+0.06,-6.49]N(w) | tau=[-3.54,+3.90,-8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.104,-0.056,-0.077]m | f_tot=[-30.32,+38.44,+209.57]N(w) | f_grf=[-30.32,+38.43,+219.57]N(w) | f_leg=[+30.32,-38.43,-219.57]N(w) | f_prop=[+0.00,+0.01,-10.00]N(w) | tau=[-4.95,+6.03,+8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.104,-0.056,-0.077]m | f_tot=[-30.32,+38.44,+209.56]N(w) | f_grf=[-30.32,+38.43,+219.56]N(w) | f_leg=[+30.32,-38.43,-219.56]N(w) | f_prop=[+0.00,+0.01,-10.00]N(w) | tau=[-4.95,+6.03,+8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.104,-0.056,-0.077]m | f_tot=[-30.32,+38.44,+209.56]N(w) | f_grf=[-30.32,+38.43,+219.56]N(w) | f_leg=[+30.32,-38.43,-219.56]N(w) | f_prop=[+0.00,+0.01,-10.00]N(w) | tau=[-4.95,+6.03,+8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.104,-0.056,-0.077]m | f_tot=[-30.32,+38.44,+209.56]N(w) | f_grf=[-30.32,+38.43,+219.56]N(w) | f_leg=[+30.32,-38.43,-219.56]N(w) | f_prop=[+0.00,+0.01,-10.00]N(w) | tau=[-4.95,+6.03,+8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.104,-0.056,-0.077]m | f_tot=[-30.32,+38.44,+209.56]N(w) | f_grf=[-30.32,+38.43,+219.56]N(w) | f_leg=[+30.32,-38.43,-219.56]N(w) | f_prop=[+0.00,+0.01,-10.00]N(w) | tau=[-4.95,+6.03,+8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.104,-0.056,-0.077]m | f_tot=[-30.32,+38.44,+209.56]N(w) | f_grf=[-30.32,+38.43,+219.56]N(w) | f_leg=[+30.32,-38.43,-219.56]N(w) | f_prop=[+0.00,+0.01,-10.00]N(w) | tau=[-4.95,+6.03,+8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.104,-0.056,-0.077]m | f_tot=[-30.32,+38.44,+209.56]N(w) | f_grf=[-30.32,+38.43,+219.56]N(w) | f_leg=[+30.32,-38.43,-219.56]N(w) | f_prop=[+0.00,+0.01,-10.00]N(w) | tau=[-4.95,+6.03,+8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.104,-0.056,-0.077]m | f_tot=[-30.32,+38.44,+209.56]N(w) | f_grf=[-30.32,+38.43,+219.56]N(w) | f_leg=[+30.32,-38.43,-219.56]N(w) | f_prop=[+0.00,+0.01,-10.00]N(w) | tau=[-4.95,+6.03,+8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.104,-0.056,-0.077]m | f_tot=[-30.32,+38.44,+209.56]N(w) | f_grf=[-30.32,+38.43,+219.56]N(w) | f_leg=[+30.32,-38.43,-219.56]N(w) | f_prop=[+0.00,+0.01,-10.00]N(w) | tau=[-4.95,+6.03,+8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.104,-0.056,-0.077]m | f_tot=[-30.32,+38.44,+209.56]N(w) | f_grf=[-30.32,+38.43,+219.56]N(w) | f_leg=[+30.32,-38.43,-219.56]N(w) | f_prop=[+0.00,+0.01,-10.00]N(w) | tau=[-4.95,+6.03,+8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.104,-0.056,-0.077]m | f_tot=[-30.32,+38.44,+209.56]N(w) | f_grf=[-30.32,+38.43,+219.56]N(w) | f_leg=[+30.32,-38.43,-219.56]N(w) | f_prop=[+0.00,+0.01,-10.00]N(w) | tau=[-4.95,+6.03,+8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.104,-0.056,-0.077]m | f_tot=[-30.32,+38.44,+209.56]N(w) | f_grf=[-30.32,+38.43,+219.56]N(w) | f_leg=[+30.32,-38.43,-219.56]N(w) | f_prop=[+0.00,+0.01,-10.00]N(w) | tau=[-4.95,+6.03,+8.00]Nm | pwm=[1000,1000,1000,1300,1000,1000]us
