[run_modee] leg_model = serial
======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 3000.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.1
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[+0.000,+0.000,-0.565]m | f_tot=[-0.00,+0.00,+3.68]N(w) | f_grf=[-0.00,+0.00,+0.00]N(w) | f_leg=[+0.00,-0.00,-0.00]N(w) | f_prop=[+0.00,-0.00,+3.68]N(w) | tau=[+0.00,+0.00,+0.00]Nm | pwm=[1000,1093,1093,1093,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.148,-0.034,-0.425]m | f_tot=[+11.87,+20.15,+32.08]N(w) | f_grf=[+11.14,+19.73,+24.66]N(w) | f_leg=[-11.14,-19.73,-24.66]N(w) | f_prop=[+0.73,+0.42,+7.43]N(w) | tau=[-6.55,+6.28,-24.48]Nm | pwm=[1000,1221,1292,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.444,+0.018,-0.320]m | f_tot=[-2.68,+0.46,-3.01]N(w) | f_grf=[-0.00,-0.00,-0.00]N(w) | f_leg=[+0.00,+0.00,+0.00]N(w) | f_prop=[-2.68,+0.46,-3.01]N(w) | tau=[+1.20,+4.34,-2.97]Nm | pwm=[1000,1000,1187,1120,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.103,+0.055,-0.077]m | f_tot=[+22.57,+4.73,+24.16]N(w) | f_grf=[+22.57,+4.72,+34.46]N(w) | f_leg=[-22.57,-4.72,-34.46]N(w) | f_prop=[-0.00,+0.01,-10.30]N(w) | tau=[+1.09,+3.90,+20.84]Nm | pwm=[1000,1000,1300,1253,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.098,+0.052,-0.075]m | f_tot=[+53.77,-47.95,+210.00]N(w) | f_grf=[+53.78,-47.95,+220.00]N(w) | f_leg=[-53.78,+47.95,-220.00]N(w) | f_prop=[-0.01,+0.00,-10.00]N(w) | tau=[+10.18,+11.37,+131.08]Nm | pwm=[1000,1000,1300,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.098,+0.052,-0.075]m | f_tot=[+53.76,-48.57,+210.00]N(w) | f_grf=[+53.77,-48.57,+220.00]N(w) | f_leg=[-53.77,+48.57,-220.00]N(w) | f_prop=[-0.01,+0.00,-10.00]N(w) | tau=[+10.18,+11.32,+131.53]Nm | pwm=[1000,1000,1300,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.098,+0.052,-0.075]m | f_tot=[+53.76,-48.59,+210.00]N(w) | f_grf=[+53.77,-48.59,+220.00]N(w) | f_leg=[-53.77,+48.59,-220.00]N(w) | f_prop=[-0.01,+0.00,-10.00]N(w) | tau=[+10.18,+11.32,+131.54]Nm | pwm=[1000,1000,1300,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.098,+0.052,-0.075]m | f_tot=[+53.76,-48.59,+210.00]N(w) | f_grf=[+53.77,-48.59,+220.00]N(w) | f_leg=[-53.77,+48.59,-220.00]N(w) | f_prop=[-0.01,+0.00,-10.00]N(w) | tau=[+10.18,+11.32,+131.54]Nm | pwm=[1000,1000,1300,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.098,+0.052,-0.075]m | f_tot=[+53.76,-48.59,+210.00]N(w) | f_grf=[+53.77,-48.59,+220.00]N(w) | f_leg=[-53.77,+48.59,-220.00]N(w) | f_prop=[-0.01,+0.00,-10.00]N(w) | tau=[+10.18,+11.32,+131.54]Nm | pwm=[1000,1000,1300,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.098,+0.052,-0.075]m | f_tot=[+53.76,-48.59,+210.00]N(w) | f_grf=[+53.77,-48.59,+220.00]N(w) | f_leg=[-53.77,+48.59,-220.00]N(w) | f_prop=[-0.01,+0.00,-10.00]N(w) | tau=[+10.18,+11.32,+131.54]Nm | pwm=[1000,1000,1300,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[-0.098,+0.052,-0.075]m | f_tot=[+53.76,-48.59,+210.00]N(w) | f_grf=[+53.77,-48.59,+220.00]N(w) | f_leg=[-53.77,+48.59,-220.00]N(w) | f_prop=[-0.01,+0.00,-10.00]N(w) | tau=[+10.18,+11.32,+131.54]Nm | pwm=[1000,1000,1300,1000,1000,1000]us
